127.0.0.1 - - [26/Nov/2022:10:57:27 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Nov/2022:10:57:39 +0530] "GET /web_app_jstl/NewFile.jsp HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [26/Nov/2022:10:57:39 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Nov/2022:11:04:02 +0530] "GET /web_app_jstl/NewFile.jsp HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [26/Nov/2022:11:04:42 +0530] "GET /web_app_jstl/NewFile.jsp HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [26/Nov/2022:11:17:35 +0530] "GET /web_app_jstl/NewFile.jsp HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [26/Nov/2022:11:17:51 +0530] "GET /web_app_jstl/NewFile.jsp HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [26/Nov/2022:11:18:09 +0530] "GET /web_app_jstl/NewFile.jsp HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [26/Nov/2022:11:22:48 +0530] "GET /web_app_jstl/NewFile.jsp HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [26/Nov/2022:11:23:05 +0530] "GET /web_app_jstl/NewFile.jsp HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [26/Nov/2022:11:23:06 +0530] "GET /web_app_jstl/NewFile.jsp HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [26/Nov/2022:11:23:48 +0530] "GET /web_app_jstl/NewFile.jsp HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [26/Nov/2022:11:26:32 +0530] "GET /web_app_jstl/NewFile.jsp HTTP/1.1" 200 243
